01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1995,Alemanha,,,,,,r,27658.00
1995,Áustria,,,,,,r,26543.00
1995,Bélgica,,,,,,,27855.00
1995,Bulgária,,,,,,x,
1995,Chéquia,,,,,,x,
1995,Chipre,,,,,,x,
1995,Croácia,,,,,,x,
1995,Dinamarca,,,,,,,31424.00
1995,Eslováquia,,,,,,x,
1995,Eslovénia,,,,,,x,
1995,Espanha,,,,,,r,16613.00
1995,Estónia,,,,,,x,
1995,Finlândia,,,,,,,22759.00
1995,França,,,,,,r,22587.00
1995,Grécia,,,,,,r,9840.00
1995,Hungria,,,,,,x,
1995,Irlanda,,,,,,r,17841.00
1995,Itália,,,,,,r,15992.00
1995,Letónia,,,,,,x,
1995,Lituânia,,,,,,x,
1995,Luxemburgo,,,,,,,34065.00
1995,Malta,,,,,,x,
1995,Polónia,,,,,,x,
1995,Portugal,,,,,,,9706.00
1995,Roménia,,,,,,x,
1995,Suécia,,,,,,r,22387.00
1996,Alemanha,,,,,,r,27657.00
1996,Áustria,,,,,,r,26522.00
1996,Bélgica,,,,,,,27875.00
1996,Bulgária,,,,,,x,
1996,Chéquia,,,,,,x,
1996,Chipre,,,,,,x,
1996,Croácia,,,,,,x,
1996,Dinamarca,,,,,,,32466.00
1996,Eslováquia,,,,,,x,
1996,Eslovénia,,,,,,r,10552.00
1996,Espanha,,,,,,r,17587.00
1996,Estónia,,,,,,x,
1996,Finlândia,,,,,,,23144.00
1996,França,,,,,,r,23229.00
1996,Grécia,,,,,,r,10689.00
1996,Hungria,,,,,,r,3539.00
1996,Irlanda,,,,,,r,19617.00
1996,Itália,,,,,,r,18284.00
1996,Letónia,,,,,,x,
1996,Lituânia,,,,,,x,
1996,Luxemburgo,,,,,,,34532.00
1996,Malta,,,,,,x,
1996,Polónia,,,,,,x,
1996,Portugal,,,,,,,10353.00
1996,Roménia,,,,,,x,
1996,Suécia,,,,,,r,26064.00
1997,Alemanha,,,,,,r,27058.00
1997,Áustria,,,,,,r,25943.00
1997,Bélgica,,,,,,,27774.00
1997,Bulgária,,,,,,x,
1997,Chéquia,,,,,,,3954.00
1997,Chipre,,,,,,x,
1997,Croácia,,,,,,x,
1997,Dinamarca,,,,,,,33130.00
1997,Eslováquia,,,,,,x,
1997,Eslovénia,,,,,,r,11500.00
1997,Espanha,,,,,,,17490.00
1997,Estónia,,,,,,,3004.00
1997,Finlândia,,,,,,,23387.00
1997,França,,,,,,r,23266.00
1997,Grécia,,,,,,r,11982.00
1997,Hungria,,,,,,r,3923.00
1997,Irlanda,,,,,,r,22852.00
1997,Itália,,,,,,r,19421.00
1997,Letónia,,,,,,x,
1997,Lituânia,,,,,,x,
1997,Luxemburgo,,,,,,,34694.00
1997,Malta,,,,,,x,
1997,Polónia,,,,,,x,
1997,Portugal,,,,,,,10805.00
1997,Roménia,,,,,,,1189.00
1997,Suécia,,,,,,r,26973.00
1998,Alemanha,,,,,,r,27377.00
1998,Áustria,,,,,,r,26863.00
1998,Bélgica,,,,,,,28200.00
1998,Bulgária,,,,,,x,
1998,Chéquia,,,,,,,4256.00
1998,Chipre,,,,,,x,
1998,Croácia,,,,,,x,
1998,Dinamarca,,,,,,,34160.00
1998,Eslováquia,,,,,,r,3452.00
1998,Eslovénia,,,,,,r,12125.00
1998,Espanha,,,,,,r,17749.00
1998,Estónia,,,,,,,3364.00
1998,Finlândia,,,,,,,24043.00
1998,França,,,,,,r,23761.00
1998,Grécia,,,,,,r,11935.00
1998,Hungria,,,,,,r,4011.00
1998,Irlanda,,,,,,,23911.00
1998,Itália,,,,,,r,19732.00
1998,Letónia,,,,,,r,2703.00
1998,Lituânia,,,,,,,2858.00
1998,Luxemburgo,,,,,,,35173.00
